study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,external_data_fbclid,notes
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,84.765625,33.85241301908,3453,3578,125,21.152913449569,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,86.63325284419,76.870680776931,3632,3802,170,7.189400977068,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,86.193080357143,62.22714579659,3831,4031,200,17.183527432726,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,100.9765625,85.416666666667,4051,4158,107,17.863125230763,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,81.783536585366,72.636254140319,4178,4293,115,20.106238241903,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,71.381094953918,36.031266902081,4326,4716,390,3.2701023785712,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,72.928873697917,29.955150462963,4746,4914,168,14.064125005995,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,56.8359375,32.060185185185,4934,5035,101,9.5548963256866,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,64.641369047619,18.375,5054,5141,87,7.1071331666196,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,57.985152867965,26.749113155363,5166,5391,225,,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,100.390625,100.92592592593,5545,5635,90,25.749037090624,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,77.395753938008,67.951610691702,5704,5870,166,19.193962126315,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,68.75,31.944444444444,5922,6037,115,10.637769426735,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,57.778084962072,41.449227655719,6139,6401,262,18.356879289143,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,78.344919686264,49.518327397519,6425,6639,214,8.1524490943336,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,69.7265625,43.055555555556,6662,6771,109,12.895227503271,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,83.854166666667,50.868055555556,6796,6904,108,9.2699077874388,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,73.296873712508,48.574845170374,6924,7109,185,,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
