study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
a8e98608-7fb7-4b08-847c-36de3c777fb1,d485dc6f-c078-4851-8a7f-6dd32bb8f7a7,35.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_d485dc6f-c078-4851-8a7f-6dd32bb8f7a7.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,3,1,55.34597326208,46.889467592593,1255,1339,84,5.7700259986566,
a8e98608-7fb7-4b08-847c-36de3c777fb1,d485dc6f-c078-4851-8a7f-6dd32bb8f7a7,35.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_d485dc6f-c078-4851-8a7f-6dd32bb8f7a7.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,3,1,61.781889650773,49.647234065284,1357,1739,382,3.8213147860409,
a8e98608-7fb7-4b08-847c-36de3c777fb1,d485dc6f-c078-4851-8a7f-6dd32bb8f7a7,35.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_d485dc6f-c078-4851-8a7f-6dd32bb8f7a7.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,3,1,63.84619331923,42.77079457139,1771,2169,398,5.878031530693,
a8e98608-7fb7-4b08-847c-36de3c777fb1,d485dc6f-c078-4851-8a7f-6dd32bb8f7a7,35.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_d485dc6f-c078-4851-8a7f-6dd32bb8f7a7.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,3,1,66.452859949183,31.712962962963,2190,2283,93,,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,3,7,1,59.666933994062,44.638124591779,438,838,400,14.995949354612,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,3,7,1,42.835683065747,38.292565724206,857,1241,384,7.5179683708455,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,3,7,1,41.850599888167,53.526855089355,1260,1540,280,,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,3,7,1,73.976533243535,-34.022548432271,1734,1906,172,13.047942132798,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,3,7,1,73.091634114583,-60.590277777778,1937,2021,84,,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,2,1,66.859808514014,37.168560606061,10,400,390,12.549359764835,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,2,1,52.5488765656,39.986968206369,430,818,388,9.3547504984786,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,2,1,63.258456107817,38.72311550883,886,1019,133,13.518460616499,
