study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,external_data_fbclid,notes,aoi_fixations_order
5941574c-f699-4258-bd86-c17305752624,708876ff-a8c1-4972-a3bf-a8e0d515b2f0,"Mickey Mouse_20.mp4",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_5941574c-f699-4258-bd86-c17305752624/project_lg_708876ff-a8c1-4972-a3bf-a8e0d515b2f0.jpg?v=15.35.4,79fdfa13-f5eb-4f08-b281-200dae513515,,"P0101, Male",,2,2,1,1,IwAR0n1Lt1NI3hiRIlN5zuUhgrpMMBDkp-yWo1Hb0c7cwMh4GSQXw7f_mTQ2c,"RealEye v15.35.4; FixationFilterSettings [gazePointInterpolationHz = 30; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 150; minFixationDurationMs = 80; maxFixationDurationMs = 400; movingMediaRangeMs = 200; saccadeMaxDurationMs = 150]; TestCriteria [;isGenderMale=true;isGenderFemale=true;isGenderOther=true;isGenderNotSpecified=true;exposureNumber=1;qualityMin=1;qualityMax=6;exposureNumber=1;isParticipantTypeRealEye=true;isParticipantTypeNonRealEye=true;isDeviceDesktop=true;isDeviceSmartphone=true;isDeviceTablet=true;isSetupLocal=true;isSetupMouse=true;isSetupOpengaze=true]; 2024-03-03T15:27:29+00:00"
5941574c-f699-4258-bd86-c17305752624,708876ff-a8c1-4972-a3bf-a8e0d515b2f0,"Mickey Mouse_20.mp4",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_5941574c-f699-4258-bd86-c17305752624/project_lg_708876ff-a8c1-4972-a3bf-a8e0d515b2f0.jpg?v=15.35.4,26a9fc84-aeb0-4676-a137-2deab9bbd3be,,"P0102, Male",,2,2,1,1,IwAR0n1Lt1NI3hiRIlN5zuUhgrpMMBDkp-yWo1Hb0c7cwMh4GSQXw7f_mTQ2c,
